# Force          
# CofR           : 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
#                
# Time           	total_x total_y total_z	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
3.022            	-4.1566650085e-02 2.6292209589e-02 3.5343308965e-01	(-4.3354745720e-02 2.4101203037e-02 3.5281593903e-01)	(1.7880956340e-03 2.1910065524e-03 6.1715062120e-04)
3.023            	-4.1509011498e-02 2.6666069515e-02 3.5339479439e-01	(-4.3296421791e-02 2.4474763957e-02 3.5278192818e-01)	(1.7874102927e-03 2.1913055580e-03 6.1286621763e-04)
3.024            	-4.1585359910e-02 2.6980811709e-02 3.5260005425e-01	(-4.3371840592e-02 2.4789505203e-02 3.5199146280e-01)	(1.7864806820e-03 2.1913065063e-03 6.0859145037e-04)
3.025            	-4.1575900300e-02 2.7332747714e-02 3.5229571508e-01	(-4.3361371648e-02 2.5141589366e-02 3.5169128785e-01)	(1.7854713483e-03 2.1911583477e-03 6.0442722249e-04)
3.026            	-4.1575633815e-02 2.7690983850e-02 3.5210091758e-01	(-4.3360068953e-02 2.5500135760e-02 3.5150053657e-01)	(1.7844351380e-03 2.1908480897e-03 6.0038101308e-04)
3.027            	-4.1867272121e-02 2.7942759093e-02 3.5117693996e-01	(-4.3649723738e-02 2.5752800950e-02 3.5058056815e-01)	(1.7824516162e-03 2.1899581429e-03 5.9637180632e-04)
3.028            	-4.1961418173e-02 2.8503723262e-02 3.4663537676e-01	(-4.3741560111e-02 2.6313675882e-02 3.4604348625e-01)	(1.7801419386e-03 2.1900473799e-03 5.9189050830e-04)
3.029            	-4.1389562114e-02 2.8715524390e-02 3.5237785399e-01	(-4.3169185508e-02 2.6526279949e-02 3.5178943875e-01)	(1.7796233946e-03 2.1892444412e-03 5.8841524781e-04)
3.03             	-4.2291924378e-02 2.8969985096e-02 3.5018128730e-01	(-4.4068556364e-02 2.6781894315e-02 3.4959653414e-01)	(1.7766319853e-03 2.1880907818e-03 5.8475316163e-04)
3.031            	-4.1993995345e-02 2.8639150755e-02 3.3874294966e-01	(-4.3768131901e-02 2.6453171068e-02 3.3816296813e-01)	(1.7741365557e-03 2.1859796867e-03 5.7998153151e-04)
3.032            	-4.1564317868e-02 2.9986702475e-02 3.5437463003e-01	(-4.3337792482e-02 2.7801601764e-02 3.5379737009e-01)	(1.7734746144e-03 2.1851007110e-03 5.7725993345e-04)
3.033            	-4.1396887075e-02 3.0063369567e-02 3.5048654484e-01	(-4.3170119579e-02 2.7879548108e-02 3.4991238562e-01)	(1.7732325042e-03 2.1838214592e-03 5.7415922518e-04)
3.034            	-4.1672556746e-02 3.0377121325e-02 3.4904193623e-01	(-4.3444609280e-02 2.8194860873e-02 3.4847106222e-01)	(1.7720525347e-03 2.1822604516e-03 5.7087401019e-04)
3.035            	-4.1271846061e-02 3.0975648913e-02 3.5108578253e-01	(-4.3043752345e-02 2.8794157666e-02 3.5051790224e-01)	(1.7719062836e-03 2.1814912469e-03 5.6788029041e-04)
3.036            	-4.1429891520e-02 3.1246131572e-02 3.4983842895e-01	(-4.3201240397e-02 2.9065672080e-02 3.4927369588e-01)	(1.7713488775e-03 2.1804594920e-03 5.6473306617e-04)
3.037            	-4.1478300653e-02 3.1555621716e-02 3.4920866500e-01	(-4.3248894501e-02 2.9376332247e-02 3.4864710315e-01)	(1.7705938481e-03 2.1792894689e-03 5.6156185609e-04)
3.038            	-4.1342509584e-02 3.1906023813e-02 3.4874852019e-01	(-4.3112710574e-02 2.9727863988e-02 3.4819014212e-01)	(1.7702009897e-03 2.1781598254e-03 5.5837806917e-04)
3.039            	-4.1335953523e-02 3.2239442005e-02 3.4794304553e-01	(-4.3105667049e-02 3.0062374900e-02 3.4738789683e-01)	(1.7697135269e-03 2.1770671053e-03 5.5514869946e-04)
3.04             	-4.1269970527e-02 3.2547051081e-02 3.4761820385e-01	(-4.3039465149e-02 3.0371221750e-02 3.4706629157e-01)	(1.7694946220e-03 2.1758293310e-03 5.5191228474e-04)
3.041            	-4.1386861044e-02 3.2806701408e-02 3.4595771017e-01	(-4.3155615151e-02 3.0632303344e-02 3.4540915190e-01)	(1.7687541070e-03 2.1743980638e-03 5.4855827178e-04)
3.042            	-4.1133725449e-02 3.3258632303e-02 3.4715552501e-01	(-4.2902512530e-02 3.1085427456e-02 3.4661011223e-01)	(1.7687870807e-03 2.1732048473e-03 5.4541277947e-04)
3.043            	-4.1128590733e-02 3.3590189722e-02 3.4655432968e-01	(-4.2897316669e-02 3.1418165529e-02 3.4601202763e-01)	(1.7687259363e-03 2.1720241925e-03 5.4230204462e-04)
3.044            	-4.1086990682e-02 3.3935916792e-02 3.4614060418e-01	(-4.2855684419e-02 3.1765039327e-02 3.4560145798e-01)	(1.7686937373e-03 2.1708774651e-03 5.3914620426e-04)
3.045            	-4.1086484284e-02 3.3668532303e-02 3.3694552861e-01	(-4.2854515745e-02 3.1499217418e-02 3.3641046025e-01)	(1.7680314608e-03 2.1693148851e-03 5.3506836591e-04)
3.046            	-4.0881225840e-02 3.4718591114e-02 3.4720334877e-01	(-4.2649680988e-02 3.2550435774e-02 3.4667098942e-01)	(1.7684551480e-03 2.1681553401e-03 5.3235934551e-04)
3.047            	-4.0897501594e-02 3.5029340223e-02 3.4629363848e-01	(-4.2666002664e-02 3.2862216128e-02 3.4576404116e-01)	(1.7685010697e-03 2.1671240944e-03 5.2959732581e-04)
3.048            	-4.0792227799e-02 3.5397621630e-02 3.4589170023e-01	(-4.2561091016e-02 3.3231580081e-02 3.4536493056e-01)	(1.7688632175e-03 2.1660415489e-03 5.2676966697e-04)
3.049            	-4.0610032806e-02 3.5755291187e-02 3.4567018325e-01	(-4.2379730572e-02 3.3590253340e-02 3.4514621288e-01)	(1.7696977665e-03 2.1650378468e-03 5.2397036900e-04)
3.05             	-4.0948554185e-02 3.5905124947e-02 3.4338330262e-01	(-4.2718046014e-02 3.3741502847e-02 3.4286244088e-01)	(1.7694918289e-03 2.1636221000e-03 5.2086174423e-04)
3.051            	-4.0816311892e-02 3.6215592095e-02 3.4306956144e-01	(-4.2585941915e-02 3.4053382682e-02 3.4255178016e-01)	(1.7696300235e-03 2.1622094126e-03 5.1778128099e-04)
3.052            	-4.0903009567e-02 3.6545388322e-02 3.4166723303e-01	(-4.2672404178e-02 3.4384465823e-02 3.4115268235e-01)	(1.7693946103e-03 2.1609224993e-03 5.1455067831e-04)
3.053            	-4.0921524357e-02 3.6762189569e-02 3.4283808619e-01	(-4.2690493730e-02 3.4603220538e-02 3.4232647272e-01)	(1.7689693729e-03 2.1589690313e-03 5.1161347090e-04)
3.054            	-4.1164110765e-02 3.6953721546e-02 3.4031838087e-01	(-4.2931957041e-02 3.4796686375e-02 3.3981001300e-01)	(1.7678462764e-03 2.1570351710e-03 5.0836787480e-04)
3.055            	-4.0681371614e-02 3.7482170040e-02 3.4171230611e-01	(-4.2449393839e-02 3.5326651307e-02 3.4120689038e-01)	(1.7680222257e-03 2.1555187333e-03 5.0541572735e-04)
3.056            	-4.0717436013e-02 3.7783459535e-02 3.4095014278e-01	(-4.2485413126e-02 3.5629468277e-02 3.4044776874e-01)	(1.7679771135e-03 2.1539912583e-03 5.0237403638e-04)
3.057            	-4.0546817541e-02 3.8097902575e-02 3.4064221189e-01	(-4.2315084381e-02 3.5945440403e-02 3.4014283157e-01)	(1.7682668396e-03 2.1524621724e-03 4.9938031652e-04)
3.058            	-4.0494772999e-02 3.8423045152e-02 3.4027217771e-01	(-4.2263340217e-02 3.6272101098e-02 3.3977584063e-01)	(1.7685672177e-03 2.1509440536e-03 4.9633708430e-04)
3.059            	-4.0482017338e-02 3.8728554595e-02 3.3981365722e-01	(-4.2250723780e-02 3.6579194034e-02 3.3932034108e-01)	(1.7687064416e-03 2.1493605614e-03 4.9331613951e-04)
3.06             	-4.0535731361e-02 3.8606326976e-02 3.3370085845e-01	(-4.2303922710e-02 3.6458815764e-02 3.3321129200e-01)	(1.7681913489e-03 2.1475112124e-03 4.8956645219e-04)
3.061            	-4.0899866912e-02 3.9032672905e-02 3.3568724053e-01	(-4.2666657028e-02 3.6887167117e-02 3.3520105557e-01)	(1.7667901163e-03 2.1455057883e-03 4.8618495995e-04)
3.062            	-4.0288563629e-02 3.9889610839e-02 3.4039241414e-01	(-4.2055617611e-02 3.7745404142e-02 3.3990903376e-01)	(1.7670539819e-03 2.1442066969e-03 4.8338037387e-04)
3.063            	-4.0459437235e-02 3.9926487637e-02 3.3808460191e-01	(-4.2226017881e-02 3.7784141349e-02 3.3760432716e-01)	(1.7665806464e-03 2.1423462876e-03 4.8027474635e-04)
3.064            	-4.0175245273e-02 4.0301585093e-02 3.3782750407e-01	(-4.1941973251e-02 3.8160792277e-02 3.3735038332e-01)	(1.7667279777e-03 2.1407928159e-03 4.7712075009e-04)
3.065            	-4.0102372121e-02 4.0612293530e-02 3.3742493980e-01	(-4.1869187804e-02 3.8473065584e-02 3.3695103420e-01)	(1.7668156826e-03 2.1392279459e-03 4.7390559867e-04)
3.066            	-4.0020681450e-02 4.0940315278e-02 3.3704002635e-01	(-4.1787605188e-02 3.8802582641e-02 3.3656942138e-01)	(1.7669237378e-03 2.1377326374e-03 4.7060497456e-04)
3.067            	-4.0131100941e-02 4.1028593000e-02 3.3483218588e-01	(-4.1897536727e-02 3.8892743265e-02 3.3436511571e-01)	(1.7664357865e-03 2.1358497349e-03 4.6707017747e-04)
3.068            	-3.9839573362e-02 4.1592105513e-02 3.3635766656e-01	(-4.1606101659e-02 3.9457645645e-02 3.3589394271e-01)	(1.7665282975e-03 2.1344598673e-03 4.6372384312e-04)
3.069            	-3.9843480482e-02 4.1828340972e-02 3.3531708747e-01	(-4.1609783352e-02 3.9695374988e-02 3.3485683943e-01)	(1.7663028699e-03 2.1329659832e-03 4.6024804303e-04)
3.07             	-3.9744626609e-02 4.2101850965e-02 3.3469528073e-01	(-4.1510801002e-02 3.9970451784e-02 3.3423855401e-01)	(1.7661743928e-03 2.1313991813e-03 4.5672672117e-04)
3.071            	-3.9668242486e-02 4.2351569423e-02 3.3405696138e-01	(-4.1434291232e-02 4.0221867192e-02 3.3360379600e-01)	(1.7660487467e-03 2.1297022312e-03 4.5316537191e-04)
3.072            	-3.9571615629e-02 4.2661012405e-02 3.3340547206e-01	(-4.1337566939e-02 4.0532907928e-02 3.3295597065e-01)	(1.7659513099e-03 2.1281044767e-03 4.4950140603e-04)
3.073            	-3.9584022116e-02 4.2940337523e-02 3.3306195271e-01	(-4.1349616951e-02 4.0813924587e-02 3.3261607023e-01)	(1.7655948346e-03 2.1264129363e-03 4.4588247500e-04)
3.074            	-3.9582439669e-02 4.3143682462e-02 3.3148142743e-01	(-4.1347423170e-02 4.1019011355e-02 3.3103932340e-01)	(1.7649835014e-03 2.1246711076e-03 4.4210402654e-04)
3.075            	-3.9516201169e-02 4.3517068584e-02 3.3144366986e-01	(-4.1280643223e-02 4.1393905148e-02 3.3100528269e-01)	(1.7644420536e-03 2.1231634364e-03 4.3838717854e-04)
3.076            	-3.9731077529e-02 4.3196510711e-02 3.2598481418e-01	(-4.1494098480e-02 4.1075524200e-02 3.2555071654e-01)	(1.7630209509e-03 2.1209865114e-03 4.3409763357e-04)
3.077            	-3.9122298681e-02 4.4065604118e-02 3.3183191607e-01	(-4.0885855113e-02 4.1946461217e-02 3.3140117092e-01)	(1.7635564318e-03 2.1191429003e-03 4.3074514969e-04)
3.078            	-3.9439464211e-02 4.4652563316e-02 3.3203894192e-01	(-4.1202145286e-02 4.2534637473e-02 3.3161163383e-01)	(1.7626810750e-03 2.1179258427e-03 4.2730808898e-04)
3.079            	-4.0248723683e-02 4.4068995550e-02 3.2261230618e-01	(-4.2007714342e-02 4.1952953863e-02 3.2218945533e-01)	(1.7589906586e-03 2.1160416874e-03 4.2285084684e-04)
3.08             	-3.9629102529e-02 4.4922312766e-02 3.3045810242e-01	(-4.1386730754e-02 4.2808322181e-02 3.3003860495e-01)	(1.7576282246e-03 2.1139905853e-03 4.1949746801e-04)
3.081            	-3.9198466314e-02 4.5230840733e-02 3.2926272822e-01	(-4.0955763558e-02 4.3118446310e-02 3.2884664366e-01)	(1.7572972441e-03 2.1123944226e-03 4.1608456496e-04)
3.082            	-3.9162483134e-02 4.5405758190e-02 3.2810502420e-01	(-4.0919426767e-02 4.3295144174e-02 3.2769243364e-01)	(1.7569436334e-03 2.1106140160e-03 4.1259055808e-04)
3.083            	-3.9011287657e-02 4.5729791690e-02 3.2810712294e-01	(-4.0768139175e-02 4.3620864994e-02 3.2769796239e-01)	(1.7568515174e-03 2.1089266959e-03 4.0916054943e-04)
3.084            	-3.8948777975e-02 4.5901176300e-02 3.2688787015e-01	(-4.0705635390e-02 4.3794084163e-02 3.2648220765e-01)	(1.7568574151e-03 2.1070921372e-03 4.0566249831e-04)
3.085            	-3.8931452871e-02 4.6150961794e-02 3.2612576479e-01	(-4.0688168812e-02 4.4045677447e-02 3.2572359587e-01)	(1.7567159417e-03 2.1052843473e-03 4.0216892178e-04)
3.086            	-3.9254595269e-02 4.6032787463e-02 3.2368900956e-01	(-4.1010164246e-02 4.3930349717e-02 3.2329050187e-01)	(1.7555689774e-03 2.1024377459e-03 3.9850768991e-04)
3.087            	-3.8907666002e-02 4.6599701173e-02 3.2448023400e-01	(-4.0662868957e-02 4.4499193650e-02 3.2408522016e-01)	(1.7552029546e-03 2.1005075228e-03 3.9501383919e-04)
3.088            	-3.8649020711e-02 4.6942703201e-02 3.2440827344e-01	(-4.0404473183e-02 4.4843864393e-02 3.2401671607e-01)	(1.7554524717e-03 2.0988388086e-03 3.9155736547e-04)
3.089            	-3.8578963531e-02 4.7189813222e-02 3.2375346014e-01	(-4.0334668297e-02 4.5092640764e-02 3.2336533445e-01)	(1.7557047666e-03 2.0971724580e-03 3.8812568485e-04)
3.09             	-3.8637841881e-02 4.6801136085e-02 3.1766672745e-01	(-4.0393254061e-02 4.4705918642e-02 3.1728268529e-01)	(1.7554121796e-03 2.0952174430e-03 3.8404215563e-04)
3.091            	-3.8515453066e-02 4.7988464967e-02 3.2471712231e-01	(-4.0271084001e-02 4.5894724364e-02 3.2433618235e-01)	(1.7556309357e-03 2.0937406032e-03 3.8093996483e-04)
3.092            	-3.8515466685e-02 4.7921915007e-02 3.2169088574e-01	(-4.0270947472e-02 4.5829845700e-02 3.2131335767e-01)	(1.7554807867e-03 2.0920693073e-03 3.7752807697e-04)
3.093            	-3.8561076292e-02 4.7947904803e-02 3.1958754687e-01	(-4.0316160291e-02 4.5857915574e-02 3.1921357339e-01)	(1.7550839994e-03 2.0899892287e-03 3.7397348538e-04)
3.094            	-3.8048962091e-02 4.8538256679e-02 3.2114512286e-01	(-3.9804847426e-02 4.6449763003e-02 3.2077448333e-01)	(1.7558853356e-03 2.0884936764e-03 3.7063952601e-04)
3.095            	-3.7949291051e-02 4.8752612858e-02 3.2034329626e-01	(-3.9706057624e-02 4.6665680414e-02 3.1997599286e-01)	(1.7567665730e-03 2.0869324448e-03 3.6730339934e-04)
3.096            	-3.7866682761e-02 4.8979064883e-02 3.1956192797e-01	(-3.9624347273e-02 4.6893733833e-02 3.1919805630e-01)	(1.7576645124e-03 2.0853310502e-03 3.6387166844e-04)
3.097            	-3.7922868592e-02 4.9184072953e-02 3.1867479571e-01	(-3.9680992378e-02 4.7100429432e-02 3.1831434358e-01)	(1.7581237865e-03 2.0836435211e-03 3.6045213345e-04)
3.098            	-3.7741722705e-02 4.9455036717e-02 3.1820184868e-01	(-3.9500636786e-02 4.7372997621e-02 3.1784482919e-01)	(1.7589140807e-03 2.0820390963e-03 3.5701949232e-04)
3.099            	-3.7637231495e-02 4.9691315559e-02 3.1757619188e-01	(-3.9396992653e-02 4.7610900647e-02 3.1722257952e-01)	(1.7597611584e-03 2.0804149119e-03 3.5361236823e-04)
3.1              	-3.7593374237e-02 4.9884800516e-02 3.1672140557e-01	(-3.9353850376e-02 4.7806078137e-02 3.1637120479e-01)	(1.7604761397e-03 2.0787223796e-03 3.5020077339e-04)
3.101            	-3.7760627399e-02 4.9943184712e-02 3.1499215538e-01	(-3.9521141173e-02 4.7866464630e-02 3.1464546832e-01)	(1.7605137734e-03 2.0767200820e-03 3.4668705584e-04)
3.102            	-3.7455004595e-02 5.0345152153e-02 3.1580456797e-01	(-3.9216210548e-02 4.8270335879e-02 3.1546125831e-01)	(1.7612059524e-03 2.0748162734e-03 3.4330965279e-04)
3.103            	-3.7420151567e-02 5.0526601767e-02 3.1455962798e-01	(-3.9181931428e-02 4.8453642205e-02 3.1421974918e-01)	(1.7617798608e-03 2.0729595619e-03 3.3987879554e-04)
3.104            	-3.7225425782e-02 5.0769700680e-02 3.1390157894e-01	(-3.8988106071e-02 4.8698503341e-02 3.1356515321e-01)	(1.7626802891e-03 2.0711973400e-03 3.3642572783e-04)
3.105            	-3.7712716764e-02 5.0648399017e-02 3.1193442098e-01	(-3.9474585498e-02 4.8580004002e-02 3.1160144242e-01)	(1.7618687338e-03 2.0683950157e-03 3.3297856611e-04)
3.106            	-3.8284288799e-02 5.0085977616e-02 3.0289216950e-01	(-4.0043067224e-02 4.8019751419e-02 3.0256374405e-01)	(1.7587784255e-03 2.0662261971e-03 3.2842545202e-04)
3.107            	-3.7697278716e-02 5.0670325664e-02 3.0708639958e-01	(-3.9455059552e-02 4.8606717483e-02 3.0676166175e-01)	(1.7577808362e-03 2.0636081810e-03 3.2473783341e-04)
3.108            	-3.6689385298e-02 5.2201453611e-02 3.1625573004e-01	(-3.8448979071e-02 5.0139699963e-02 3.1593352551e-01)	(1.7595937728e-03 2.0617536478e-03 3.2220452218e-04)
3.109            	-3.7018451734e-02 5.1846846723e-02 3.1079720365e-01	(-3.8778485604e-02 4.9787136262e-02 3.1047818995e-01)	(1.7600338703e-03 2.0597104605e-03 3.1901369572e-04)
3.11             	-3.6778102144e-02 5.2183446575e-02 3.1123465147e-01	(-3.8539170294e-02 5.0125784888e-02 3.1091870599e-01)	(1.7610681496e-03 2.0576616875e-03 3.1594548268e-04)
3.111            	-3.6731610557e-02 5.2357012356e-02 3.0999168118e-01	(-3.8493468424e-02 5.0301358632e-02 3.0967885636e-01)	(1.7618578672e-03 2.0556537242e-03 3.1282482276e-04)
3.112            	-3.6669291472e-02 5.2466771128e-02 3.0872560245e-01	(-3.8431917347e-02 5.0413266894e-02 3.0841595379e-01)	(1.7626258751e-03 2.0535042339e-03 3.0964866423e-04)
3.113            	-3.6571742292e-02 5.2639884047e-02 3.0806320770e-01	(-3.8335169906e-02 5.0588756139e-02 3.0775665003e-01)	(1.7634276142e-03 2.0511279082e-03 3.0655767091e-04)
3.114            	-3.6480267128e-02 5.2800057890e-02 3.0681735404e-01	(-3.8244491150e-02 5.0751233439e-02 3.0651396051e-01)	(1.7642240221e-03 2.0488244508e-03 3.0339352912e-04)
3.115            	-3.6359909541e-02 5.3057473204e-02 3.0633697151e-01	(-3.8124990093e-02 5.1010847496e-02 3.0603665308e-01)	(1.7650805525e-03 2.0466257083e-03 3.0031842476e-04)
3.116            	-3.6287512018e-02 5.3228425321e-02 3.0546214655e-01	(-3.8053419074e-02 5.1184059919e-02 3.0516491254e-01)	(1.7659070568e-03 2.0443654020e-03 2.9723401006e-04)
3.117            	-3.6160682158e-02 5.3450706400e-02 3.0500126036e-01	(-3.7927521215e-02 5.1408655077e-02 3.0470699211e-01)	(1.7668390569e-03 2.0420513227e-03 2.9426824506e-04)
3.118            	-3.6100410302e-02 5.3630188777e-02 3.0429636986e-01	(-3.7868037003e-02 5.1590550953e-02 3.0400504560e-01)	(1.7676267013e-03 2.0396378247e-03 2.9132426097e-04)
3.119            	-3.5904459197e-02 5.3832950465e-02 3.0358923307e-01	(-3.7673234327e-02 5.1795724910e-02 3.0330075631e-01)	(1.7687751292e-03 2.0372255554e-03 2.8847676346e-04)
3.12             	-3.6088205148e-02 5.3689867124e-02 3.0090086650e-01	(-3.7857349665e-02 5.1655475647e-02 3.0061539832e-01)	(1.7691445178e-03 2.0343914772e-03 2.8546818120e-04)
3.121            	-3.5759924590e-02 5.3841236572e-02 2.9931388418e-01	(-3.7529896241e-02 5.1809301416e-02 2.9903147383e-01)	(1.7699716515e-03 2.0319351561e-03 2.8241034947e-04)
3.122            	-3.5701637510e-02 5.3889468890e-02 2.9827780607e-01	(-3.7472595380e-02 5.1860285084e-02 2.9799837897e-01)	(1.7709578692e-03 2.0291838060e-03 2.7942710256e-04)
3.123            	-3.5343593663e-02 5.4885082906e-02 3.0258724533e-01	(-3.7116398623e-02 5.2858173069e-02 3.0231017454e-01)	(1.7728049600e-03 2.0269098374e-03 2.7707079153e-04)
3.124            	-3.5637274332e-02 5.4736702461e-02 2.9974493179e-01	(-3.7410764961e-02 5.2712482940e-02 2.9947048503e-01)	(1.7734906288e-03 2.0242195212e-03 2.7444675707e-04)
3.125            	-3.5370479581e-02 5.4872865876e-02 2.9880135097e-01	(-3.7145247997e-02 5.2851333936e-02 2.9852950852e-01)	(1.7747684156e-03 2.0215319397e-03 2.7184245672e-04)
3.126            	-3.5188077061e-02 5.5062685441e-02 2.9818850809e-01	(-3.6964500003e-02 5.3043798467e-02 2.9791929004e-01)	(1.7764229417e-03 2.0188869736e-03 2.6921805296e-04)
3.127            	-3.5147196078e-02 5.5152644340e-02 2.9691682896e-01	(-3.6925159019e-02 5.3136488640e-02 2.9665026519e-01)	(1.7779629404e-03 2.0161556999e-03 2.6656376967e-04)
3.128            	-3.5235172981e-02 5.5095858472e-02 2.9475458347e-01	(-3.7014188148e-02 5.3082618434e-02 2.9449087447e-01)	(1.7790151667e-03 2.0132400377e-03 2.6370900375e-04)
3.129            	-3.4974281245e-02 5.5378530032e-02 2.9497956114e-01	(-3.6754866111e-02 5.3368220688e-02 2.9471853339e-01)	(1.7805848666e-03 2.0103093433e-03 2.6102775154e-04)
3.13             	-3.4892414212e-02 5.5531455436e-02 2.9419346354e-01	(-3.6674652028e-02 5.3524106180e-02 2.9393516655e-01)	(1.7822378162e-03 2.0073492558e-03 2.5829699230e-04)
3.131            	-3.4765345970e-02 5.5677254436e-02 2.9324679335e-01	(-3.6549347833e-02 5.3672832611e-02 2.9299124816e-01)	(1.7840018636e-03 2.0044218254e-03 2.5554518685e-04)
3.132            	-3.5293507522e-02 5.5482720513e-02 2.9088122294e-01	(-3.7077522644e-02 5.3481944016e-02 2.9062860522e-01)	(1.7840151219e-03 2.0007764970e-03 2.5261772213e-04)
3.133            	-3.5123634082e-02 5.5776542176e-02 2.9038721530e-01	(-3.6907967127e-02 5.3778946864e-02 2.9013752732e-01)	(1.7843330452e-03 1.9975953111e-03 2.4968798446e-04)
3.134            	-3.4514639390e-02 5.6001950156e-02 2.9040644629e-01	(-3.6300868708e-02 5.4007551154e-02 2.9015957814e-01)	(1.7862293177e-03 1.9943990026e-03 2.4686814375e-04)
3.135            	-3.4735174229e-02 5.5918274969e-02 2.8749815883e-01	(-3.6522371188e-02 5.3926928182e-02 2.8725441371e-01)	(1.7871969595e-03 1.9913467868e-03 2.4374511974e-04)
3.136            	-3.4380361693e-02 5.6318172654e-02 2.8939653228e-01	(-3.6169466993e-02 5.4330205528e-02 2.8915552984e-01)	(1.7891052997e-03 1.9879671266e-03 2.4100243558e-04)
3.137            	-3.4339622412e-02 5.6124496840e-02 2.8490698166e-01	(-3.6130247934e-02 5.4139339437e-02 2.8466930165e-01)	(1.7906255223e-03 1.9851574026e-03 2.3768000522e-04)
3.138            	-3.3986993419e-02 5.6173629422e-02 2.8634405772e-01	(-3.5780012603e-02 5.4192329265e-02 2.8610923329e-01)	(1.7930191843e-03 1.9813001572e-03 2.3482443003e-04)
3.139            	-3.4581407429e-02 5.6171729904e-02 2.8364101641e-01	(-3.6374937560e-02 5.4194080811e-02 2.8340935774e-01)	(1.7935301310e-03 1.9776490930e-03 2.3165866841e-04)
3.14             	-3.3980638728e-02 5.6989908401e-02 2.8677163770e-01	(-3.5776197350e-02 5.5015452011e-02 2.8654268901e-01)	(1.7955586215e-03 1.9744563900e-03 2.2894869343e-04)
3.141            	-3.3754666161e-02 5.7119255192e-02 2.8579507320e-01	(-3.5552552801e-02 5.5147830580e-02 2.8556890819e-01)	(1.7978866404e-03 1.9714246121e-03 2.2616501050e-04)
3.142            	-3.3614149761e-02 5.7225091256e-02 2.8481913804e-01	(-3.5414447348e-02 5.5256653858e-02 2.8459582620e-01)	(1.8002975867e-03 1.9684373980e-03 2.2331184076e-04)
3.143            	-3.3554596252e-02 5.7299187719e-02 2.8374784042e-01	(-3.5357180015e-02 5.5333788670e-02 2.8352744321e-01)	(1.8025837634e-03 1.9653990485e-03 2.2039720928e-04)
3.144            	-3.3442518063e-02 5.7422419078e-02 2.8290166777e-01	(-3.5247362438e-02 5.5459978972e-02 2.8268422834e-01)	(1.8048443758e-03 1.9624401065e-03 2.1743942676e-04)
3.145            	-3.3344257191e-02 5.7487679395e-02 2.8176156881e-01	(-3.5151325446e-02 5.5528189995e-02 2.8154712550e-01)	(1.8070682551e-03 1.9594894003e-03 2.1444330614e-04)
3.146            	-3.3154219309e-02 5.7594228167e-02 2.8075935822e-01	(-3.4963702702e-02 5.5637539004e-02 2.8054795850e-01)	(1.8094833931e-03 1.9566891637e-03 2.1139972763e-04)
3.147            	-3.3101169635e-02 5.7727690315e-02 2.8006652344e-01	(-3.4912909640e-02 5.5773815708e-02 2.7985814778e-01)	(1.8117400049e-03 1.9538746065e-03 2.0837566332e-04)
3.148            	-3.3296668401e-02 5.7666947711e-02 2.7835027135e-01	(-3.5109762214e-02 5.5716077950e-02 2.7814501382e-01)	(1.8130938126e-03 1.9508697614e-03 2.0525752698e-04)
3.149            	-3.2859165571e-02 5.7932122001e-02 2.7832635406e-01	(-3.4674538066e-02 5.5984028088e-02 2.7812410893e-01)	(1.8153724945e-03 1.9480939129e-03 2.0224512982e-04)
3.15             	-3.2841584665e-02 5.8005825254e-02 2.7736366392e-01	(-3.4658971776e-02 5.6060521300e-02 2.7716444580e-01)	(1.8173871106e-03 1.9453039541e-03 1.9921812471e-04)
3.151            	-3.2727657058e-02 5.8082211276e-02 2.7639556779e-01	(-3.4547072322e-02 5.6139692405e-02 2.7619938743e-01)	(1.8194152639e-03 1.9425188707e-03 1.9618035823e-04)
3.152            	-3.2500566053e-02 5.8168870535e-02 2.7538923095e-01	(-3.4322308143e-02 5.6229009095e-02 2.7519610151e-01)	(1.8217420897e-03 1.9398614405e-03 1.9312944217e-04)
3.153            	-3.2804406721e-02 5.8029203309e-02 2.7364991045e-01	(-3.4627141135e-02 5.6092543765e-02 2.7345984415e-01)	(1.8227344132e-03 1.9366595437e-03 1.9006630898e-04)
3.154            	-3.2482591669e-02 5.8212016683e-02 2.7313511613e-01	(-3.4307000208e-02 5.6278270226e-02 2.7294807445e-01)	(1.8244085395e-03 1.9337464572e-03 1.8704168217e-04)
3.155            	-3.2699251273e-02 5.7186615236e-02 2.6638354347e-01	(-3.4524171001e-02 5.5256219041e-02 2.6620014311e-01)	(1.8249197277e-03 1.9303961947e-03 1.8340035708e-04)
3.156            	-3.2359398503e-02 5.8800033501e-02 2.7377523765e-01	(-3.4185947470e-02 5.6872520976e-02 2.7359440619e-01)	(1.8265489669e-03 1.9275125245e-03 1.8083146125e-04)
3.157            	-3.1938521799e-02 5.8829918691e-02 2.7204098960e-01	(-3.3767328358e-02 5.6904858712e-02 2.7186291852e-01)	(1.8288065584e-03 1.9250599793e-03 1.7807108170e-04)
3.158            	-3.2018548232e-02 5.8711933011e-02 2.7023920690e-01	(-3.3849036881e-02 5.6789522211e-02 2.7006401329e-01)	(1.8304886488e-03 1.9224107993e-03 1.7519361129e-04)
